City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,college,64.8569,-147.8028,-5.86,74,75,0.0,US,1736461851
83,la ronge,55.1001,-105.2842,-14.86,72,75,6.69,CA,1736461852
84,ushuaia,-54.8,-68.3,10.81,58,40,10.29,AR,1736461853
85,nova xavantina,-14.6667,-52.35,21.79,99,99,1.54,BR,1736461854
86,port hedland,-20.3167,118.5667,31.03,70,20,4.12,AU,1736461855
87,sao paulo de olivenca,-3.3783,-68.8725,24.41,95,99,1.02,BR,1736461856
88,pushkinskiye gory,57.0209,28.9103,-1.28,93,95,3.38,RU,1736461857
89,glace bay,46.1969,-59.957,0.25,95,100,4.63,CA,1736461858
90,laguna,38.421,-121.4238,19.98,53,0,2.06,US,1736461859
91,makubetsu,45.3714,141.8211,-0.45,88,99,10.0,JP,1736461860
92,marsh harbour,26.5412,-77.0636,18.89,56,0,8.85,BS,1736461861
93,longyearbyen,78.2186,15.6401,-3.09,100,100,3.6,SJ,1736461862
94,coquimbo,-29.9533,-71.3436,18.88,69,75,4.12,CL,1736461863
95,sinop,41.7711,34.8709,8.18,63,0,5.19,TR,1736461864
96,the bottom,17.6259,-63.2492,24.3,62,37,0.78,BQ,1736461865
97,fortuna,40.5982,-124.1573,18.51,64,0,1.54,US,1736461855
98,savanna-la-mar,18.219,-78.1332,24.4,79,99,4.15,JM,1736461867
99,taoudenni,22.6783,-3.9836,16.11,17,1,6.05,ML,1736461868
100,chapel hill,35.9132,-79.0558,1.33,49,0,1.62,US,1736461802
101,port elizabeth,-33.918,25.5701,21.16,90,40,5.14,ZA,1736461870
102,mount isa,-20.7333,139.5,30.87,55,4,7.2,AU,1736461871
103,isla mujeres,21.2311,-86.731,22.83,68,100,5.92,MX,1736461873
104,tual,-5.6667,132.75,28.74,75,94,4.32,ID,1736461874
105,nadi,-17.8,177.4167,29.0,61,20,3.6,FJ,1736461875
106,paraisopolis,-22.5542,-45.78,17.59,98,14,2.49,BR,1736461876
107,wailua homesteads,22.0669,-159.378,22.44,93,100,9.26,US,1736461877
108,olonkinbyen,70.9221,-8.7187,-6.05,90,100,10.47,SJ,1736461878
109,bubaque,11.2833,-15.8333,25.73,74,0,6.7,GW,1736461879
110,santa luzia,-19.7697,-43.8514,22.65,90,75,0.0,BR,1736461880
111,chonchi,-42.6128,-73.8092,16.73,50,2,1.47,CL,1736461881
112,isola di capo rizzuto,38.96,17.0933,13.87,63,100,2.57,IT,1736461882
113,hawaiian paradise park,19.5933,-154.9731,26.05,77,100,2.06,US,1736461883
114,new norfolk,-42.7826,147.0587,22.18,44,16,1.11,AU,1736461884
115,batang,-6.4846,110.7083,25.55,89,100,3.59,ID,1736461885
116,linfen,36.0889,111.5189,-1.84,21,26,1.42,CN,1736461887
117,gereida,11.2811,25.1414,20.77,18,58,4.5,SD,1736461888
118,jamestown,42.097,-79.2353,-6.66,78,75,3.6,US,1736461889
119,tir pul,34.5943,61.269,1.23,78,100,6.24,AF,1736461890
120,manokwari,-0.8667,134.0833,26.9,75,75,1.49,ID,1736461891
121,ancud,-41.8697,-73.8203,14.98,58,0,1.17,CL,1736461892
122,magadan,59.5667,150.8,-18.87,83,21,3.27,RU,1736461893
123,puerto aysen,-45.4,-72.7,17.54,48,5,1.74,CL,1736461896
124,staryy dobrotvir,50.2315,24.377,9.63,74,100,6.22,UA,1736461897
125,cidreira,-30.1811,-50.2056,22.44,71,8,7.82,BR,1736461898
126,batticaloa,7.7102,81.6924,24.38,92,95,3.33,LK,1736461899
127,atafu village,-8.5421,-172.5159,28.2,67,100,8.76,TK,1736461900
128,aasiaat,68.7098,-52.8699,-21.0,98,70,2.99,GL,1736461901
129,caleta de carquin,-11.0925,-77.6267,21.97,80,98,3.75,PE,1736461902
130,kourou,5.1552,-52.6478,24.94,81,85,2.38,GF,1736461903
131,papatowai,-46.5619,169.4708,14.74,71,96,3.18,NZ,1736461904
132,santa teresa,10.2341,-66.6631,23.38,65,9,1.77,VE,1736461905
133,vadso,70.0744,29.7487,-7.91,86,20,8.75,NO,1736461906
134,bowie,33.4501,-94.4335,-0.46,94,100,0.45,US,1736461907
135,klyuchi,52.2667,79.1667,-5.99,86,100,6.15,RU,1736461908
136,kinik,39.0872,27.3833,11.35,89,62,0.92,TR,1736461909
137,itamaraca,-7.7478,-34.8256,26.5,82,44,3.03,BR,1736461910
138,vershino-darasunskiy,52.35,115.5167,-26.39,95,46,1.54,RU,1736461911
139,dickinson,29.4608,-95.0513,6.04,93,100,9.26,US,1736461912
140,harper,4.375,-7.7169,26.64,80,100,2.96,LR,1736461913
141,ilebo,-4.3167,20.5833,21.94,93,62,0.33,CD,1736461914
142,san pedro,14.35,121.0167,24.62,83,40,3.13,PH,1736461898
143,fauske,67.2588,15.3918,-5.59,86,94,2.3,NO,1736461918
144,utrik,11.2278,169.8474,26.99,76,33,9.63,MH,1736461919
145,mangrol,21.1167,70.1167,20.19,58,24,2.57,IN,1736461920
146,bethel,41.3712,-73.414,-0.95,60,0,7.2,US,1736461921
147,la'ie,21.6477,-157.9253,27.84,75,80,2.68,US,1736461922
148,lihue,21.9789,-159.3672,22.77,94,100,9.26,US,1736461923
149,enewetak,11.3474,162.3373,27.4,81,3,10.4,MH,1736461924
150,isafjordur,66.0755,-23.124,-2.78,87,42,4.7,IS,1736461925
151,tofol,5.3248,163.0078,28.47,76,69,9.14,FM,1736461926
152,santa cruz,-17.8,-63.1667,30.03,70,20,2.06,BO,1736461927
153,tsiombe,-25.3,45.4833,25.16,93,83,0.83,MG,1736461928
154,plettenberg bay,-34.0527,23.3716,20.61,81,53,3.91,ZA,1736461929
155,astorga,-23.2325,-51.6656,23.03,59,16,3.12,BR,1736461930
156,lebu,-37.6167,-73.65,14.43,80,0,8.46,CL,1736461931
157,saipan,15.1355,145.701,28.39,91,20,4.63,MP,1736461932
158,carnarvon,-24.8667,113.6333,25.07,65,98,9.09,AU,1736461933
159,oppdal,62.5943,9.6912,-10.27,87,92,1.94,NO,1736461934
160,sao francisco do sul,-26.2433,-48.6381,23.31,94,75,2.06,BR,1736461935
161,praia da vitoria,38.7333,-27.0667,19.14,94,75,9.15,PT,1736461936
162,bamboo flat,11.7,92.7167,27.05,83,100,2.57,IN,1736461937
163,hamilton,39.1834,-84.5333,-3.03,52,0,2.06,US,1736461938
164,fuglafjordur,62.244,-6.814,-0.87,63,93,3.37,FO,1736461939
165,golyshmanovo,56.3979,68.3728,-3.52,80,100,10.28,RU,1736461940
166,stawell,-37.05,142.7667,27.59,28,31,1.41,AU,1736461942
167,igarka,67.4667,86.5833,-32.13,100,66,1.78,RU,1736461943
168,susuman,62.7833,148.1667,-28.93,99,100,0.25,RU,1736461945
169,pupri,26.4833,85.7167,10.38,72,0,0.35,IN,1736461946
170,ostersund,63.1792,14.6357,-8.75,92,100,2.57,SE,1736461947
171,hermanus,-34.4187,19.2345,18.22,84,74,4.8,ZA,1736461948
172,justo daract,-33.8594,-65.1828,26.92,50,67,5.45,AR,1736461949
173,tateyama,34.9833,139.8667,5.37,36,36,7.87,JP,1736461932
